title,info,file,expires,tags,usage,country
Vydate 10 G NEMATICIDE,Vydate 10 G,BE-NL_Vydate_10_G_pkg_bdg_fr-nl_pms.eps,Never,"Belgium, The Netherlands, Vydate 10 G, Nematicide, Insecticide, Oxamyl, French, Dutch,Nematicide, Insecticide .","PMS 731 C Brown, PMS 4645 C Brown, PMS 285 C Blue, Black",Netherlands
Vydate 10 G NEMATICIDE,Vydate 10 G,BE-NL_Vydate_10_G_pkg_txt_fr-nl_pms.eps,Never,"Belgium, The Netherlands, Vydate 10 G, Nematicide, Insecticide, Oxamyl, French, Dutch,Nematicide, Insecticide .","PMS 731 C Brown, PMS 285 C Blue, Black",Netherlands
Lumisure Seed treatment,"Lumisure, Seed Treatment",ZA_Lumisure_Clothianidin_pkg_txt_en_pms.eps,Never,"South Africa, Lumisure, Clothianidin, Seed Treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",South Africa
Lumisure Seed treatment,"Lumisure, Seed Treatment",ZA_Lumisure_Clothianidin_pkg_bdg_en_pms.eps,Never,"South Africa, Lumisure, Clothianidin, Seed Treatment","Black, PMS 7549 C Gold, PMS 128 C Gold, PMS 285 C Blue",South Africa
CONFRONT 360 SL HERBICIDE,CONFRONT 360 SL,ZA_CONFRONT_360_SL_pkg_bdg_en_pms.eps,Never,"SOUTH AFRICA, CONFRONT3 60SL, HERBICIDE","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",
CONFRONT 360 SL HERBICIDE,CONFRONT 360 SL,ZA_CONFRONT_360_SL_pkg_txt_en_pms.eps,Never,"SOUTH AFRICA, CONFRONT3 60SL, HERBICIDE","Black, PMS 361 C Green, PMS 285 C Blue",
Grandor 600 EC HERBICIDE,"Grandor 600 EC, HERBICIDE - Greece",GR_Grandor_600_EC_pkg_txt_el_pms.eps,Never,"Greece, Grandor 600 EC, ΖΙΖΑΝΙΟΚΤΟΝΟ, Greek, HERBICIDE","Black, PMS 361 C Green, PMS 285 C Blue",Greece
Arigo Herbicide,Arigo® HERBICIDE - Macedonia,MK_Arigo_bilingual_pkg_bdg_mk_pms.eps,Never,"MACEDONIA, Arigo®, ХЕРБИЦИД, Macedonian, Herbicide","Black, PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue",
Arigo Herbicide,Arigo® HERBICIDE - Macedonia,MK_Arigo_bilingual_pkg_txt_mk_pms.eps,Never,"MACEDONIA, Arigo®, ХЕРБИЦИД, Macedonian, Herbicide","Black, PMS 361 C Green, PMS 285 C Blue",
Stinger Fungicide,® ستنڨر,TN_Stinger_bilingual_pkg_bdg_fr_pms.eps,Never,"Tunisia ,Stinger , Fongicide , Fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Tunisia
Stinger Fungicide,® ستنڨر,TN_Stinger_bilingual_pkg_txt_fr_pms.eps,Never,"Tunisia ,Stinger , Fongicide , Fungicide","Black, PMS 513 C Purple, PMS 285 C Blue",Tunisia
Mezavue 250 EW Herbicide,"Mezavue 250 EW , HERBICIDE",ZA_Mezavue_250_EW_pkg_txt_en_pms.eps,Never,"Mezavue 250 EW HERBICIDE , SOUTH AFRICA","Black, PMS 285 C Blue, PMS 361 C Green",
Mezavue 250 EW Herbicide,"Mezavue 250 EW , HERBICIDE",ZA_Mezavue_250_EW_pkg_bdg_en_pms.eps,Never,"Mezavue 250 EW HERBICIDE , SOUTH AFRICA","Black, PMS 285 C Blue, PMS 361 C Green, PMS 376 C Green",
Sherpa Duo,Sherpa Duo rovarölő szer,HU_Sherpa_Duo_pkg_bdg_hu_pms.eps,Never,"Hungary, Sherpa Duo, rovarölő szer, Hungarian, Insecticide","Black, PMS 285 C Blue, PMS 158 C Orange, PMS 1495 C Orange",Hungary
Sherpa Duo,Sherpa Duo rovarölő szer,HU_Sherpa_Duo_pkg_txt_hu_pms.eps,Never,"Hungary, Sherpa Duo, rovarölő szer, Hungarian, Insecticide","Black, PMS 285 C Blue, PMS 158 C Orange",Hungary
Zorvec Vinabria Fungicide,Zorvec Vinabria gombaölő szer,HU_Zorvec_Vinabria_pkg_bdg_hu_pms.eps,Never,"Hungary, Zorvec Vinabria, gombaölő szer, zorvec, folpet, Hungarian, Fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary
Zorvec Vinabria Fungicide,Zorvec Vinabria gombaölő szer,HU_Zorvec_Vinabria_pkg_txt_hu_pms.eps,Never,"Hungary, Zorvec Vinabria, gombaölő szer, zorvec, folpet, Hungarian, Fungicide","PMS 513 C Purple, PMS 285 C Blue, Black",Hungary
Questar Fungicide,Queen gombaölő szer,HU_Questar_pkg_bdg_hu_pms.eps,Never,"Hungary, Queen, gombaölő szer, inatreq, prothioconazol, Hungarian, Fungicide","Black, PMS 285 C Blue, PMS 513 C Purple, PMS 514 C Purple",Hungary
Questar Fungicide,Queen gombaölő szer,HU_Questar_pkg_txt_hu_pms.eps,Never,"Hungary, Queen, gombaölő szer, inatreq, prothioconazol, Hungarian, Fungicide","Black, PMS 285 C Blue, PMS 513 C Purple",Hungary
Zorvec Vinabel Fungicide,Zorvec Vinabel gombaölő szer,HU_Zorvec_Vinabel_pkg_bdg_hu_pms.eps,Never,"Hungary, Zorvec Vinabel, gombaölő szer, zorvec, zoxamid, Hungarian, Fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary
Zorvec Vinabel Fungicide,Zorvec Vinabel gombaölő szer,HU_Zorvec_Vinabel_pkg_txt_hu_pms.eps,Never,"Hungary, Zorvec Vinabel, gombaölő szer, zorvec, zoxamid, Hungarian, Fungicide","PMS 513 C Purple, PMS 285 C Blue, Black",Hungary
Zorvec Endavia Fungicide,Zorvec Endavia gombaölő szer,HU_Zorvec_Endavia_pkg_bdg_hu_pms.eps,Never,"Hungary, Zorvec Endavia, gombaölő szer, benthiavalikarp, Hungarian, Fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary
Zorvec Endavia Fungicide,Zorvec Endavia gombaölő szer,HU_Zorvec_Endavia_pkg_txt_hu_pms.eps,Never,"Hungary, Zorvec Endavia, gombaölő szer, benthiavalikarp, Hungarian, Fungicide","PMS 513 C Purple, PMS 285 C Blue, Black",Hungary
Queen Fungicide,Queen gombaölő szer,HU_Queen_pkg_bdg_hu_pms.eps,Never,"Hungary, Queen, gombaölő szer, inatreq, Hungarian, Fungicide","Black, PMS 285 C Blue, PMS 513 C Purple, PMS 514 C Purple",Hungary
Queen Fungicide,Queen gombaölő szer,HU_Queen_pkg_txt_hu_pms.eps,Never,"Hungary, Queen, gombaölő szer, inatreq, Hungarian, Fungicide","Black, PMS 285 C Blue, PMS 513 C Purple",Hungary
Magma Insecticide,MAGMA ROVARÖLŐ SZER,HU_Magma_pkg_bdg_hu_pms.eps,Never,"Hungary, Magma, rovarölő szer, Hungarian, Insecticide","Black, PMS 285 C Blue, PMS 158 C Orange, PMS 1495 C Orange",Hungary
Magma Insecticide,MAGMA ROVARÖLŐ SZER,HU_Magma_pkg_txt_hu_pms.eps,Never,"Hungary, Magma, rovarölő szer, Hungarian, Insecticide","Black, PMS 285 C Blue, PMS 158 C Orange",Hungary
Lumisena Fungicide Seed Treatment,LUMISENA GOMBAÖLŐ CSÁVÁZÓSZER,HU_Lumisena_pkg_bdg_hu_pms.eps,Never,"Hungary, Lumisena, gombaölő csávázószer, Hungarian, Fungicide Seed Treatment","Black, PMS 285 C Blue, PMS 7549 C Gold, PMS 128 C Gold",Hungary
Lumisena Fungicide Seed Treatment,LUMISENA GOMBAÖLŐ CSÁVÁZÓSZER,HU_Lumisena_pkg_txt_hu_pms.eps,Never,"Hungary, Lumisena, gombaölő csávázószer, Hungarian, Fungicide Seed Treatment","Black, PMS 285 C Blue, PMS 7549 C Gold",Hungary
Trend 90 Surfactant,Trend 90,HU_Trend_90_pkg_txt_hu_pms.eps,Never,"Hungary, Trend 90, SEGÉDANYAG, Hungarian, Surfactand","PMS 214 C Pink, PMS 285 C Blue, Black",Hungary
Trend 90 Surfactant,Trend 90,HU_Trend_90_pkg_bdg_hu_pms.eps,Never,"Hungary, Trend 90, SEGÉDANYAG, Hungarian, Surfactand","PMS 214 C Pink, PMS 708 C Pink, PMS 285 C Blue, Black",Hungary
Lumivia Semillero insecticide seed treatment,"Lumivia Semillero, Tratamiento insecticida para semillas",AR_Lumivia_Semillero_pkg_txt_es_pms.eps,Never,"Argentina, Lumivia Semillero, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina
Talius fungicide,Talius,HU_Talius_pkg_bdg_hu_pms.eps,Never,"Hungary, Talius GOMBAÖLŐ SZER, Hungarian, fungicide","PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue, Black",Hungary
Talius fungicide,Talius,HU_Talius_pkg_txt_hu_pms.eps,Never,"Hungary, Talius GOMBAÖLŐ SZER, Hungarian, fungicide","PMS 513 C Purple, PMS 285 C Blue, Black",Hungary
Lumivia RA insecticide seed treatment,"Lumivia RA, Tratamiento insecticida para semillas",AR_Lumivia_RA_pkg_txt_es_pms.eps,Never,"Argentina, Lumivia RA, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina
Principal herbicide,Principal,HU_Principal_pkg_txt_hu_pms.eps,Never,"Hungary, Principal gombaölő szer, Hungarianm herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Hungary
Principal herbicide,Principal,HU_Principal_pkg_bdg_hu_pms.eps,Never,"Hungary, Principal gombaölő szer, Hungarianm herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Hungary
Lumisure Semillero insecticide seed treatment,"Lumisure Semillero, Tratamiento insecticida para semillas",AR_Lumisure_Semillero_pkg_txt_es_pms.eps,Never,"Argentina, Lumisure Semillero, Tratamiento insecticida para semillas, spanish, insecticide seed treatment","Black, PMS 7549 C Gold, PMS 285 C Blue",Argentina
